postId	champ	balise	hote	url
1076	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/zampa_juan.mp3
1078	corpsHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/41eSOPnlqkL._SL500_AA240_.jpg
1078	chapoHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/419xs94kTDL._SL500_AA240_.jpg
1078	chapoHtml	embed	www.deezer.com	http://www.deezer.com/embedded/widget.swf?path=14491449&lang=FR&colorBack=0x990066&colorVolume=0x003D31&colorScrollbar=0x005C5C&colorText=0xFFFFFF&autoplay=0&autoShuffle=0&id=3707252
1081	corpsHtml	lien	musicontempo.free.fr	http://musicontempo.free.fr/lully_bacchus.mp3
1083	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/bach_amadis_de_gaule_colloque.mp3
1083	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/bach_amadis_de_gaule_duel.mp3
1083	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/bach_amadis_de_gaule_aveu.mp3
1085	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/leeuw_tremolo.mp3
1085	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/genvrin_non_tremolo.mp3
1090	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/ss_pianistes.mp3
1090	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/mozart_spass.mp3
1090	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/ades_caccia.mp3
1090	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/damase_colombe.mp3
1090	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/krasa_bellini.mp3
1090	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/bridge_marche_militaire.mp3
1090	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/glass.mp3
1090	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/lully_cadmus.mp3
1090	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/damase_eugene.mp3
1090	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/holliger_prince.mp3
1090	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/ekstroem.mp3
1090	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/auber_nuit.mp3
1090	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/aboulker_petibon.mp3
1090	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/humour_css/j.strauss_polka_paysans.mp3
1092	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/saint_gilles.mp3
1093	corpsHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/richard_strauss_elektra_sawallisch_marton_studer_1.jpg
1093	corpsHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/richard_strauss_elektra_sawallisch_marton_studer_reedition.jpg
1093	chapoHtml	img	musicontempo.free.fr	http://musicontempo.free.fr/richard_strauss_elektra_rose_pauly_rosa.jpg
1095	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/sombre_destinee.mp3
1096	corpsHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/51j9l4RbI-L._SL500_AA240_.jpg
1096	chapoHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/5189TFueq8L._SL500_AA240_.jpg
1098	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/lesueur_operas_la_caverne_le_sueur_pruvot.mp3
1099	chapoHtml	img	www.london-architecture.info	http://www.london-architecture.info/St_Stephen_Walbrook(3).jpg
1103	corpsHtml	lien	musicontempo.free.fr	http://musicontempo.free.fr/serenade.mp3
1104	chapoHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/51DPHDXTK0L._SL500_AA240_.jpg
1105	chapoHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/51R58WA8FKL._SL500_AA240_.jpg
1107	corpsHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/41EssRSjadL._SL500_AA242_PIkin-dp-500,BottomRight,-21,38_AA280_SH20_OU01_.jpg
1107	corpsHtml	img	www.musicalpress.org	http://www.musicalpress.org/Livres/Serrou.jpg
1107	chapoHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/414DA2H3JJL._SL500_AA240_.jpg
1107	chapoHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/51ZmvFXuBFL._SL500_AA240_.jpg
1107	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/intermezzo_nibelung.mp3
1107	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/enclume.mp3
1110	corpsHtml	img	www.operajaponica.org	http://www.operajaponica.org/graphics/photos/france/compiegne/compiegnedinorah/compiegnedinorah1.jpg
1110	corpsHtml	img	www.imineo.com	http://www.imineo.com/movie_imgs/2c_large/dinorah-vod.jpg
1110	corpsHtml	lien	musicontempo.free.fr	http://musicontempo.free.fr/non.mp3
1110	chapoHtml	img	users.skynet.be	http://users.skynet.be/sb248981/compiegne.jpg
1112	corpsHtml	img	george.onslow.free.fr	http://george.onslow.free.fr/cd3.jpg
1112	corpsHtml	img	george.onslow.free.fr	http://george.onslow.free.fr/4cd1.jpg
1112	corpsHtml	img	graphics.musicme.com	http://graphics.musicme.com/jpg343/3487549901789.jpg
1112	corpsHtml	img	george.onslow.googlepages.com	http://george.onslow.googlepages.com/PV7050511web.jpg/PV7050511web-full.jpg
1112	corpsHtml	img	graphics.musicme.com	http://graphics.musicme.com/jpg343/0761203715121.jpg
1112	corpsHtml	img	george.onslow.free.fr	http://george.onslow.free.fr/cd1.jpg
1112	corpsHtml	img	graphics.musicme.com	http://graphics.musicme.com/jpg343/u0809274953629.jpg
1113	chapoHtml	img	ecx.images-amazon.com	http://ecx.images-amazon.com/images/I/51F7pi9vLsL._SL500_AA240_.jpg
1114	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/alti.mp3
1114	chapoHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://musicontempo.free.fr/violini.mp3
1116	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/images/samson_dalida_dalila.mp3
1117	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/images/rencontre_elvira.mp3
1117	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/images/rencontre_ritta.mp3
1119	corpsHtml	img	www.ocms-music.org.uk	http://www.ocms-music.org.uk/OCMS-2007-8/SarahWilliamson-low.jpg
1121	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/images/jacquet_allemande_d.mp3
1121	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/images/jacquet_chaconne_a.mp3
1121	corpsHtml	object	operacritiques.free.fr	http://operacritiques.free.fr/css/dewplayer.swf?son=http://operacritiques.free.fr/css/images/jacquet_chaconne_d.mp3
1122	corpsHtml	lien	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/dlm_jacquet_.mp3
1122	corpsHtml	lien	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/dlm_telaire_.mp3
1122	corpsHtml	lien	operacritiques.free.fr	http://operacritiques.free.fr/css/sons/dlm_basson_.mp3
